record - leader,001,008,035,040,System Control Number,245,Title Information,260,Publication Information,310,Current Publication Frequency,336,337,338,653,650,710,264,996,998,500,856,247,580,775,300,490,700,773,991,022,250,981,692,246,900,505,210,340,982,321,130,041,655,546,983,966,110,665,711
00710nas  2200229u  4500,9921316760101480,000328q19781996be wr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002131676LBS01-Aleph^$ $ $a8295791^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921316760101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$a't Vlammeke.,'t Vlammeke.,^$ $ $aRoeselare$ $ $bKSA. Jongknapen$ $ $c1978-[1996],Roeselare,^$ $ $aWeekly,Weekly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA. Jongknapen Roeselare$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,KSA. Jongknapen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00636nas  2200217u  4500,9921317810101480,000328q19791996be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002131781LBS01-Aleph^$ $ $a8296215^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921317810101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$a't Marsupilamietje.,'t Marsupilamietje.,^$ $ $aMerkem$ $ $bKSA$ $ $c1979-[1996],Merkem,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT),^$2$ $aKSA. Merkem$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,KSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00654nas  2200217u  4500,9921443160101480,000511q19781984be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002144316LBS01-Aleph^$ $ $a8349622^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921443160101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aOns gazetje.,Ons gazetje.,^$ $ $aWatou$ $ $bKSA$ $ $c1978-[1984],Watou,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA. Watou$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,KSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1984],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00665nas  2200193u  4500,9921485200101480,000523q19791989be tr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002148520LBS01-Aleph^$ $ $a8365978^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921485200101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$4$aHet mostaardzaadje : klein tijdschrift voor een christelijke bevrijdingsdynamiek.,Het mostaardzaadje : klein tijdschrift voor een christelijke bevrijdingsdynamiek.,^$ $ $aKermt$ $ $bHet mostaardzaadje$ $ $c1979-[1989],Kermt,^$ $ $aThree times a year,Three times a year,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Het mostaardzaadje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1989],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00573nas  2200181u  4500,9921553820101480,201118d19779999be  |   r     000 ||dut d,^$ $ $a(BeLVLBS)002155382LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921553820101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aCapitolo generale 21 SDB. Notizie.,Capitolo generale 21 SDB. Notizie.,^$ $ $aRoma$ $ $bCapitolo generale 21 SDB$ $ $c1977-[1978],Roma,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Capitolo generale 21 SDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-[1978],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00539nas  2200181u  4500,9921665420101480,000717q19792001be fr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002166542LBS01-Aleph^$ $ $a8439835^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921665420101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aBinnen en buiten Ganspoel.,Binnen en buiten Ganspoel.,^$ $ $aHuldenberg$ $ $bMPI Ganspoel$ $ $c[1979]-[2001],Huldenberg,^$ $ $aSemiannual,Semiannual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aMPI. Ganspoel$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,MPI Ganspoel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-[2001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00512nas  2200181u  4500,9921927280101480,001002q19791982be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002192728LBS01-Aleph^$ $ $a8534631^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921927280101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aDoewa.,Doewa.,^$ $ $aBoechout$ $ $bREVA$ $ $c1979-[1982],Boechout,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,REVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00560nas  2200181u  4500,9922066840101480,001002q19791982be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206684LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922066840101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aInfo-Kalmthout.,Info-Kalmthout.,^$ $ $aKalmthout$ $ $bCVP. Afdeling Kalmthout$ $ $c1977-?,Kalmthout,^$ $ $aSemiannual,Semiannual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CVP. Afdeling Kalmthout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1977-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00559nas  2200181u  4500,9922066880101480,001002q19791982be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206688LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922066880101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aInfo Kasterlee.,Info Kasterlee.,^$ $ $aKasterlee$ $ $bCVP. Afdeling Kasterlee$ $ $c1978-?,Kasterlee,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CVP. Afdeling Kasterlee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1978-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00582nas  2200193u  4500,9922066930101480,001114q19761978be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206693LBS01-Aleph^$ $ $a8592354^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922066930101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aAktueel te Brasschaat.,Aktueel te Brasschaat.,^$ $ $aBrasschaat$ $ $bCVP. Brasschaat$ $ $c[1976]-[1978],Brasschaat,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aCVP. Brasschaat$ $ $4oth,,^$ $ $aKADOC$ $ $bphysical$ $ $c202103$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP. Brasschaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1976]-[1978],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00550nas  2200181u  4500,9922067050101480,001114q19761978be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206705LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922067050101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aZeg 2548.,Zeg 2548.,^$ $ $aLint$ $ $bCVP. Afdeling Lint$ $ $c[1976]-[1977],Lint,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CVP. Afdeling Lint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,[1976]-[1977],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00605nas  2200181u  4500,9922067190101480,001114q19761978be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206719LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922067190101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,"^$0$0$aInfo-CVP$ $ $binformatieblad Londerzeel, Malderen, Steenhuffel.",Info-CVP,^$ $ $aSteenhuffel$ $ $bCVP. Afdeling Steenhuffel$ $ $c1976-?,Steenhuffel,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"informatieblad Londerzeel, Malderen, Steenhuffel.",,CVP. Afdeling Steenhuffel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1976-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00569nas  2200193u  4500,9922067220101480,001114q19761981be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206722LBS01-Aleph^$ $ $a8592465^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922067220101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aOranjeblad CVP.,Oranjeblad CVP.,^$ $ $aBree$ $ $bCVP. Bree-Opitter$ $ $c1976-[1981],Bree,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aCVP. Bree-Opitter$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP. Bree-Opitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1976-[1981],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00571nas  2200193u  4500,9922067240101480,001114d19789999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206724LBS01-Aleph^$ $ $a8592472^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922067240101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$a't Oranje knagertje.,'t Oranje knagertje.,^$ $ $aDilsen$ $ $bCVP-jongeren$ $ $c[1978]-?,Dilsen,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aCVP-jongeren$ $ $cDilsen$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP-jongeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1978]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00635nas  2200205u  4500,9922067270101480,001114q19771977be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206727LBS01-Aleph^$ $ $a8592484^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922067270101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$a't CVPEEKE.,'t CVPEEKE.,^$ $ $aAntwerpen$ $ $bCVP. Antwerpen Luchtbal$ $ $c1977,Antwerpen,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP. Antwerpen Luchtbal$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP. Antwerpen Luchtbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00650nas  2200217u  4500,9922067530101480,001114d19799999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206753LBS01-Aleph^$ $ $a8592597^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922067530101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$a't Egeltje.,'t Egeltje.,^$ $ $aIeper$ $ $bCVP-jongeren$ $ $c[1979]-?,Ieper,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP-jongeren$ $ $cIeper$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP-jongeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00564nas  2200181u  4500,9922067660101480,001114d19799999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206766LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922067660101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aKasterlee-info.,Kasterlee-info.,^$ $ $aKasterlee$ $ $bCVP. Afdeling Kasterlee$ $ $c1978-[1982],Kasterlee,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CVP. Afdeling Kasterlee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1978-[1982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00639nas  2200193u  4500,9922068290101480,001114q19771985xx qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206829LBS01-Aleph^$ $ $a8592929^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922068290101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aIeder zijn zegje : periodiek blad van de Laakdalse CVP.,Ieder zijn zegje : periodiek blad van de Laakdalse CVP.,^$ $ $aLaakdal$ $ $bCVP. Afdeling Laakdal$ $ $c1977-[1985],Laakdal,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP. Afdeling Laakdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-[1985],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00556nas  2200181u  4500,9922068420101480,001114q19771985xx qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206842LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922068420101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$4$aDen egel.,Den egel.,^$ $ $aLanden$ $ $bCVP-jongeren. Afdeling Landen$ $ $c1979-?,Landen,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CVP-jongeren. Afdeling Landen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1979-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00570nas  2200181u  4500,9922068570101480,001114q19771985xx qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002206857LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922068570101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$3$a't Egeltje.,'t Egeltje.,^$ $ $aKessel-Lo$ $ $bCVP-jongeren. Afdeling Nieuw Leuven$ $ $c1977-[1985],Kessel-Lo,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CVP-jongeren. Afdeling Nieuw Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1977-[1985],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00647nas  2200205u  4500,9922078430101480,001116q19791981be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002207843LBS01-Aleph^$ $ $a8596891^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922078430101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aMiddelkerke zegt.,Middelkerke zegt.,^$ $ $aOostende$ $ $bCVP. Groot-Middelkerke$ $ $c1979-[1981],Oostende,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP. Groot-Middelkerke$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP. Groot-Middelkerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1981],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00552nas  2200181u  4500,9922078910101480,001116q19791981be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002207891LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922078910101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aEcho.,Echo.,^$ $ $aMoerbeke$ $ $bCVP. Afdeling Moerbeke$ $ $c1977-[1978],Moerbeke,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,^$ $ $aKADOC$ $ $bphysical$ $ $202003$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CVP. Afdeling Moerbeke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1977-[1978],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00638nas  2200217u  4500,9922080570101480,001116q19781994be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002208057LBS01-Aleph^$ $ $a8597597^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922080570101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$aDe nevelaar.,De nevelaar.,^$ $ $aNevele$ $ $bCVP$ $ $c1978-[1994],Nevele,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP$ $ $cNevele$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1994],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00561nas  2200193u  4500,9922081620101480,001116q19791986be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002208162LBS01-Aleph^$ $ $a8598112^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922081620101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aCVP-kontakt.,CVP-kontakt.,^$ $ $aPoperinge$ $ $bCVP$ $ $c[1979]-[1985/86],Poperinge,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$2$ $aCVP$ $ $cPoperinge$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-[1985/86],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
